sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,value,HKMetadataKeyAudioExposureDuration,HKMetadataKeyAudioExposureLevel
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-28 06:42:43 +0000,2022-07-29 15:59:20 +0000,momentaryLimit,10485.7 s,91.3816 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-29 15:59:20 +0000,2022-07-31 10:28:46 +0000,momentaryLimit,22632.6 s,88.0369 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-31 10:28:46 +0000,2022-07-31 14:52:29 +0000,momentaryLimit,11902.1 s,90.8358 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-31 18:31:52 +0000,2022-08-07 18:32:00 +0000,momentaryLimit,9040.36 s,92.0244 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-08-07 18:32:00 +0000,2022-08-10 06:47:32 +0000,momentaryLimit,10831.1 s,91.2375 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-08-10 06:47:32 +0000,2022-08-12 11:59:49 +0000,momentaryLimit,15906.8 s,89.5685 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-08-12 11:59:49 +0000,2022-08-13 07:39:37 +0000,momentaryLimit,13598.5 s,90.4632 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6,"iPhone12,1",,2022-08-13 07:39:37 +0000,2022-08-14 06:10:25 +0000,momentaryLimit,10312.3 s,91.4559 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6,"iPhone12,1",,2022-08-14 06:10:25 +0000,2022-08-18 11:52:21 +0000,momentaryLimit,7425.81 s,92.8782 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6,"iPhone12,1",,2022-08-18 11:52:21 +0000,2022-08-23 18:07:47 +0000,momentaryLimit,7900.12 s,92.6091 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6,"iPhone12,1",,2022-08-23 18:07:47 +0000,2022-08-28 21:07:43 +0000,momentaryLimit,9178.38 s,92.5987 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-09-02 11:42:49 +0000,2022-09-09 11:46:15 +0000,momentaryLimit,16559.3 s,89.3937 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-09-09 11:46:15 +0000,2022-09-14 15:37:20 +0000,momentaryLimit,5198.97 s,94.426 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-09-14 15:37:20 +0000,2022-09-20 19:26:01 +0000,momentaryLimit,6152.07 s,93.6937 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-09-23 18:52:47 +0000,2022-09-30 18:52:54 +0000,momentaryLimit,5001.18 s,94.5948 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-09-30 18:52:54 +0000,2022-10-06 13:43:17 +0000,momentaryLimit,6116.12 s,93.7232 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.6.1,"iPhone12,1",,2022-10-09 11:07:12 +0000,2022-10-16 11:09:57 +0000,momentaryLimit,5273.7 s,94.3653 dBASPL
